BASIN,y1,y2,ychange,axis,lsr_ax,dist_cent_ax,sorensen_ax
JON,2009,2017,8,TDR,2.752704013400388,2.4666737037125985,0.06048766688533457
JON,2009,2017,8,sg_rich,4.950371918485646,2.1965196145929977,0.008788737636752055
JON,2009,2018,9,TT,3.901221165909667,2.615020218590657,0.01313865872596765
JON,2009,2018,9,HW,2.6510080558873743,2.581951556130045,0.03388533323290512
JON,2009,2018,9,SF,5.470975794269524,2.4065207333566625,0.007254986281195389
JON,2009,2018,9,TMA,2.9623762738364263,2.777401804123662,0.02399524842341448
JON,2009,2018,9,TDR,1.1617896629743614,2.7504486196791786,0.12080360422483417
JON,2009,2018,9,sg_rich,3.6802187192860387,2.4491386966175677,0.014413634321297802
JON,2009,2019,10,TT,3.884595521844093,2.30806783348839,0.016749744466822817
JON,2009,2019,10,HW,2.397554248742069,2.728440284024657,0.02395323785298436
JON,2009,2019,10,SF,4.509946443521169,2.4711189479515143,0.010606034909408623
JON,2009,2019,10,TMA,1.8357784703840339,2.744187692356251,0.03589938579897803
JON,2009,2019,10,TDR,0.7036046388166155,2.758877782966299,0.10159268177472015
JON,2009,2019,10,sg_rich,2.7960757932871267,2.3227036068271567,0.020533508297099854
JON,2009,2021,12,TT,6.883434896485924,3.2208284144507306,0.001292930231493927
JON,2009,2021,12,HW,4.069335993760462,3.382441923910103,0.0020595526224912774
JON,2009,2021,12,SF,6.046443915953125,3.779431328346747,6.587932218410454e-4
JON,2009,2021,12,TMA,3.7814417032064305,3.733821308256163,0.0015509518888068296
JON,2009,2021,12,TDR,2.2705682046596407,3.3453245691794846,0.019129279465772826
JON,2009,2021,12,sg_rich,5.780919911277884,3.511832810952659,0.0011669035320441218
JON,2009,2022,13,TT,7.1099252025489825,3.0239516350657523,0.001306062757753614
JON,2009,2022,13,HW,4.5026957799556,2.9794601405153647,0.005864678217909322
JON,2009,2022,13,SF,5.924707485032683,3.627871995212458,0.0012302149145394566
JON,2009,2022,13,TMA,4.32427294728209,3.4511169877357655,0.005349147023182994
JON,2009,2022,13,TDR,2.7896834578474605,3.0879720970173072,0.027716383007812356
JON,2009,2022,13,sg_rich,6.19319306059926,3.3393875129839246,0.0019868401743755124
JON,2009,2023,14,TT,4.873589506487682,3.439925278854222,0.01436633937732808
JON,2009,2023,14,HW,1.884243671357777,2.9506888629415013,0.0777528738239484
JON,2009,2023,14,SF,2.97377621278649,3.3198806291159957,0.029563839450765555
JON,2009,2023,14,TMA,2.892433709849433,3.8830689244365733,0.034090943168174445
JON,2009,2023,14,TDR,2.651316719725298,3.7884074438125137,0.044950136486764464
JON,2009,2023,14,sg_rich,3.8982630420909166,3.7317573117347127,0.016946917178900508
JON,2010,2011,1,TT,2.7568787635413408,0.9773805167253038,0.11314941747306087
JON,2010,2011,1,HW,2.411258914848858,0.8768434768649164,0.14350250139917634
JON,2010,2011,1,SF,2.68295743947508,0.4386319927139087,0.1197943121525204
JON,2010,2011,1,TMA,1.6388521621040153,0.8746333993364425,0.2662407139563559
JON,2010,2011,1,TDR,1.2767260551878743,0.7580421346849436,0.36360648378676114
JON,2010,2011,1,sg_rich,2.364731223271225,0.856002930335869,0.1457358104276965
JON,2010,2012,2,TT,3.8275828245466785,1.4813005348272419,0.03478606001438196
JON,2010,2012,2,HW,3.8687105329143576,1.5321523459131323,0.031754165577789095
JON,2010,2012,2,SF,4.242425045968294,1.0962205664094233,0.02359752181735469
JON,2010,2012,2,TMA,2.532247928784702,1.5362174072116068,0.0972374716950412
JON,2010,2012,2,TDR,1.599089187529397,1.1844703056427208,0.24166466965113054
JON,2010,2012,2,sg_rich,3.51971565527281,1.4323888030817187,0.04318582274087668
JON,2010,2013,3,TT,3.6998467428037816,1.481201980736175,0.03001371761301238
JON,2010,2013,3,HW,3.3067187138588534,1.5399223391198433,0.03436399665772426
JON,2010,2013,3,SF,4.234274764440756,1.1358162093848192,0.024307656398638473
JON,2010,2013,3,TMA,1.7060336649052132,1.4711583177051804,0.13457186493925033
JON,2010,2013,3,TDR,1.1503526199534193,1.233187667388584,0.19147809375432678
JON,2010,2013,3,sg_rich,3.3003710954381673,1.501719951299687,0.03347262921681068
JON,2010,2014,4,TT,0.10080990062886173,1.6276847515973525,0.4274372860594274
JON,2010,2014,4,HW,0.34609264702886894,1.5655926624692362,0.4311739388803675
JON,2010,2014,4,SF,0.8869220008663503,0.27491706593591275,0.5007339013771038
JON,2010,2014,4,TMA,-0.5050935414457967,1.5419558963300468,0.4787579130124745
