species,i,hv_size_Wet,hv_size_Dry,size_rat,jaccard,sorensen,uniq_Wet,uniq_Dry,dist_cent
Silver perch,28,36.276952787692615,43.976704553534375,1.212249132690494,0.26940970188128255,0.424464538882937,0.5304893459991761,0.6126945845209384,1.231517714323109
Bay anchovy,29,3.3212260887664007,30.250178784281644,9.10813596418467,0.08594631654266716,0.15828833384010155,0.19999999999999998,0.9121664407354273,1.8736179698310051
Mojarra,29,0.14091971495599512,19.24033253230845,136.5340012099557,0,0,1,1,3.555131241654322
Pigfish,29,0.5607006160193999,64.97519568060366,115.88215497583037,1.0734554521722527e-4,2.146680467759287e-4,0.9874545680441886,0.9998917397423407,2.8006000619023212
Pinfish,29,2.1341785816041803,19.915090445215107,9.331501410835871,0,0,1,1,3.352504700350351
Pink shrimp,29,0.7629573414102717,27.526953349056058,36.0792823595805,0,0,1,1,3.8987172449153022
Rainwater killifish,29,6.612606987184888,24.439189823107572,3.695847926615067,0.12203329249497387,0.21752169621209438,0.4892755969243221,0.8618113046811866,1.6774775361146792
Silver perch,29,27.254176932554067,30.385164856372658,1.1148810302203163,0.20860856099657177,0.34520450661802565,0.6349667687034869,0.6725810006612299,1.364139276350626
Bay anchovy,30,2.2963098528651975,35.80827181864577,15.593832763451482,0.04499816037511382,0.08612103270872978,0.2854609929078014,0.9541781024632429,1.840952406170094
Mojarra,30,0.10069782608362268,12.493084610685548,124.0650875651565,0,0,1,1,3.508354543651802
Pigfish,30,1.02779089409881,51.703933833822155,50.30588822170614,0,0,1,1,2.9460238189147523
Pinfish,30,2.09488809434562,23.640650716679595,11.284922941940831,0,0,1,1,3.4091614589937196
Pink shrimp,30,0.7374410101600649,36.90122684924536,50.039564305266644,0,0,1,1,4.042460530953824
Rainwater killifish,30,7.789530677102533,29.67846076009676,3.8100447883640967,0.10645185960955067,0.19242022811026924,0.5372250423011845,0.8785381843509731,1.5543795802295846
Silver perch,30,43.18903955551433,25.341035697530103,0.5867469144563228,0.23313580038940995,0.37811861486105325,0.7000107272853626,0.48872458410351205,1.183557828513822
Bay anchovy,31,2.6766543435293726,33.513647200896564,12.52072285011828,0.036183624505020315,0.06984017822575617,0.5278551532033426,0.962290927413013,1.9188107645220034
Mojarra,31,0.06915302917761885,22.380290938004382,323.6342818840348,0,0,1,1,3.69940200035146
Pigfish,31,0.9106788202681616,34.30982646513516,37.675002099019025,0,0,1,1,2.725254630040852
Pinfish,31,1.7151542700622786,15.457163861613328,9.012112864373456,0,0,1,1,3.477695147428977
Pink shrimp,31,0.8421638117684275,44.64111825098709,53.00764248851648,0,0,1,1,3.863248110485143
Rainwater killifish,31,5.798368152114555,45.775017139513935,7.894465466602126,0.03743703077915475,0.07217215053724874,0.6790336496980156,0.9593428647373472,1.8613954761516815
Silver perch,31,41.54908876523112,29.319076862060875,0.7056490944416453,0.17264591572729746,0.29445532263713065,0.7488812727952278,0.6441308730035663,1.6586440617409517
Bay anchovy,32,3.4174304727875313,25.764645578080128,7.539186468675808,0.05710383405715137,0.10803826874411677,0.5387205387205387,0.9388157511163826,1.719208167662957
Mojarra,32,0.1087495228821624,19.12071203853493,175.82341082317703,0,0,1,1,3.6863173642163534
